design_id,raw_score
design_176.1,1.4483907716097855
design_316.1,1.1768471400284048
design_300.1,1.0927363793680631
design_106.1,1.0834355331987482
design_946.1,1.033969026599897
design_1000.1,1.007109225843085
design_313.1,0.9858906099309992
design_822.1,0.9767073654400182
design_449.1,0.8506541212974026
design_909.1,0.8163856416196866
design_6.1,0.8068034508995078
design_250.1,0.779041976190034
design_383.1,0.7349132329074936
design_346.1,0.7267222341873022
design_476.1,0.6566809397037618
design_634.1,0.6453958810266963
design_782.1,0.5498641047300141
design_7.1,0.5352712398246395
design_131.1,0.5271821656151418
design_849.1,0.49336292424115347
design_853.1,0.48261589828530976
design_554.1,0.47306937238283153
design_565.1,0.46308120275620956
design_860.1,0.41489622076840776
design_859.1,0.4092880772830888
design_462.1,0.40791975508382755
design_493.1,0.4067182188390376
design_87.1,0.38413883914619273
design_391.1,0.38241981126011526
design_235.1,0.3798250077392272
design_42.1,0.37233614187217157
design_581.1,0.3700014228147853
design_135.1,0.3480615085685065
design_334.1,0.33893726769752813
design_246.1,0.3384682137318986
design_36.1,0.3341672369162432
design_170.1,0.3247328244085326
design_857.1,0.3193838722604779
design_426.1,0.30968885705297705
design_209.1,0.3045268714885954
design_904.1,0.300938117768228
design_470.1,0.298674238576724
design_828.1,0.29239477148179505
design_647.1,0.2908790544004794
design_738.1,0.28803978110036355
design_305.1,0.2781126450350471
design_941.1,0.2779202856526175
design_111.1,0.2762087436670759
design_57.1,0.27508917511888775
design_692.1,0.27467572330548073
design_524.1,0.274642935977983
design_41.1,0.2708565017955017
design_478.1,0.270600177185003
design_204.1,0.2693259931146301
design_773.1,0.26685548181193186
design_409.1,0.26250381222993646
design_968.1,0.26050370541333007
design_887.1,0.260113965429909
design_935.1,0.25964475147991195
design_363.1,0.2566799860300888
design_465.1,0.2551992311614954
design_693.1,0.2549246018944343
design_583.1,0.2544856732339138
design_702.1,0.2542896131575049
design_266.1,0.2541309029515517
design_841.1,0.25368988599381614
design_550.1,0.25368962830634373
design_457.1,0.250422739635187
design_85.1,0.25033778082990527
design_530.1,0.2494270556386856
design_203.1,0.24745548237713272
design_732.1,0.24400881163932123
design_413.1,0.24399159447250532
design_497.1,0.24291447859774726
design_985.1,0.24109413935769186
design_214.1,0.23799182559137932
design_595.1,0.23732288316221653
design_871.1,0.23721300633821066
design_657.1,0.2364198393191134
design_555.1,0.23587813192482532
design_116.1,0.2347700303329448
design_286.1,0.2339161994318127
design_753.1,0.23299129038163
design_283.1,0.2328795418267439
design_529.1,0.23259368454002247
design_678.1,0.2321520803778435
design_651.1,0.23201469312560746
design_273.1,0.23172034206329115
design_309.1,0.23028116195418347
design_83.1,0.22942587634332265
design_573.1,0.22868480716485573
design_890.1,0.22795879521475304
design_473.1,0.22760556390954442
design_895.1,0.22760496157817717
design_537.1,0.22632448937097313
design_492.1,0.22608124000497354
design_15.1,0.22572211267635486
design_490.1,0.22529349487281378
design_607.1,0.22527563263846626
design_390.1,0.2252509333099784
design_737.1,0.22493913699333387
design_631.1,0.22446855750443107
design_102.1,0.22422892590180835
design_838.1,0.22386693877812758
design_137.1,0.22383027733621358
design_628.1,0.22276566261103553
design_744.1,0.22201361206968603
design_479.1,0.2219691538077453
design_21.1,0.22188837659948604
design_560.1,0.22172024510813682
design_787.1,0.22169272078639077
design_883.1,0.22136700673527165
design_225.1,0.221105307399249
design_830.1,0.22051490675557356
design_498.1,0.22006243715630291
design_591.1,0.21946959703519517
design_956.1,0.21917707325788832
design_713.1,0.2187550194122859
design_14.1,0.217961990511247
design_649.1,0.21752751078406282
design_934.1,0.21748924886127022
design_769.1,0.21694264242053019
design_157.1,0.2167836551574737
design_513.1,0.21598215777895874
design_174.1,0.21587745898842195
design_445.1,0.21520002283720538
design_654.1,0.2151637648449587
design_416.1,0.2139328036606193
design_994.1,0.21358826363332142
design_667.1,0.21329491251807098
design_694.1,0.21283655238611698
design_656.1,0.21280818401816362
design_127.1,0.21249726868726226
design_456.1,0.21214715669020112
design_668.1,0.2107344364407304
design_564.1,0.21069701763869436
design_149.1,0.21066128651240568
design_827.1,0.21015605577003046
design_541.1,0.20993254534759212
design_993.1,0.20978380879790107
design_228.1,0.20968260361394975
design_788.1,0.20949716170032287
design_393.1,0.20923776168236383
design_193.1,0.20921905118860523
design_262.1,0.20885262316161904
design_467.1,0.2088410585870405
design_276.1,0.20865454100045416
design_177.1,0.20853414450666483
design_547.1,0.20836244309815097
design_907.1,0.20825223134436802
design_749.1,0.20768460656081145
design_322.1,0.20730638984695138
design_806.1,0.20715855516306458
design_866.1,0.20709895455722924
design_632.1,0.20708740116900717
design_742.1,0.2067698290251111
design_351.1,0.20562462878861587
design_200.1,0.20551550626421428
design_576.1,0.20517920107598675
design_51.1,0.20517232237012353
design_772.1,0.205019749554559
design_982.1,0.20488434230789085
design_967.1,0.2047831979126417
design_577.1,0.20461843418923026
design_612.1,0.2041461868897588
design_181.1,0.20410687515942222
design_978.1,0.20409709470090145
design_310.1,0.20409256799510533
design_402.1,0.20404339752565914
design_808.1,0.2034348440875329
design_818.1,0.2032362363231593
design_484.1,0.20294582905529468
design_960.1,0.20273183957021193
design_913.1,0.202692484414103
design_991.1,0.20266410013403247
design_916.1,0.20254244001507118
design_598.1,0.2020389969684841
design_858.1,0.20164507035520016
design_882.1,0.2013358938349601
design_544.1,0.20113385484784158
design_382.1,0.2008463287138716
design_518.1,0.200490583357999
design_521.1,0.20016826143853078
design_948.1,0.2000245327354597
design_481.1,0.1996630627263771
design_996.1,0.19950214918948744
design_491.1,0.1993913067016768
design_378.1,0.19886294008267
design_105.1,0.19883542719145084
design_80.1,0.198171412898359
design_412.1,0.19813931633502574
design_453.1,0.19776678997279723
design_855.1,0.19759497234640563
design_428.1,0.1968999459797995
design_495.1,0.19687013957988958
design_540.1,0.19667803253705615
design_96.1,0.19666650511417455
design_688.1,0.1966116584344188
design_236.1,0.19659942786959841
design_606.1,0.1965504702446807
design_352.1,0.19648657760951013
design_212.1,0.1962992520291696
design_432.1,0.19600866507741938
design_940.1,0.19590137147407186
design_522.1,0.19581035424720608
