design_id,raw_score
design_108.1,0.5838922513862128
design_469.1,0.3779458560754993
design_263.1,0.3198456456318402
design_919.1,0.3169313641163296
design_294.1,0.3140679117156333
design_71.1,0.30549556391158555
design_461.1,0.3049171803739246
design_702.1,0.30067472215126595
design_441.1,0.2996108764741869
design_796.1,0.2992866716436371
design_443.1,0.2991280265320778
design_567.1,0.2954754710033254
design_141.1,0.29506884703199004
design_770.1,0.29127118686783354
design_412.1,0.2831116396507312
design_70.1,0.27866458996943744
design_228.1,0.27660894658123997
design_945.1,0.26787343856857837
design_811.1,0.26622521147115547
design_887.1,0.26430656943064396
design_462.1,0.2621108389601878
design_628.1,0.26197172416270664
design_392.1,0.2603232281965465
design_606.1,0.25959334466450307
design_791.1,0.2577062253704823
design_641.1,0.25575041854220276
design_358.1,0.2554876073923861
design_22.1,0.2543688960909064
design_611.1,0.25175004156189984
design_777.1,0.2483609647396743
design_393.1,0.24650034107464788
design_609.1,0.24323063913872783
design_802.1,0.24312457138359125
design_491.1,0.24004459442347056
design_215.1,0.23818331321401395
design_390.1,0.2379526907993312
design_19.1,0.23671123621087511
design_603.1,0.23655547396338683
design_779.1,0.234791279410141
design_419.1,0.23390804862898065
design_666.1,0.23360142679928683
design_864.1,0.23339463822796008
design_363.1,0.2327523904705058
design_773.1,0.23045984178477205
design_618.1,0.22989999143506737
design_783.1,0.22859507354138764
design_719.1,0.22829504740844214
design_521.1,0.2263490608549294
design_753.1,0.22397036519565533
design_273.1,0.22263129913056898
design_384.1,0.22217809394874613
design_356.1,0.22026565788627445
design_935.1,0.22005695757771715
design_4.1,0.2199204022034915
design_394.1,0.21922075822714368
design_130.1,0.2190254670183921
design_583.1,0.21892546068102248
design_480.1,0.2175699122019675
design_815.1,0.2174618821960344
design_235.1,0.21731385522080923
design_293.1,0.21644138775219812
design_209.1,0.21554373015591516
design_701.1,0.21534726018926845
design_911.1,0.21529556003048878
design_716.1,0.2146176844351954
design_123.1,0.21392013273707086
design_710.1,0.21367393460442557
design_504.1,0.21360877263795655
design_636.1,0.21350705019047325
design_191.1,0.21324248088599607
design_327.1,0.21323870857872332
design_78.1,0.21294181893482053
design_472.1,0.21267565545613237
design_401.1,0.2126477544524878
design_15.1,0.21262566834651442
design_517.1,0.2117855050621282
design_176.1,0.21124988404426853
design_333.1,0.21064789195902578
design_554.1,0.21060550732097447
design_233.1,0.21058035815833
design_501.1,0.21037212002744068
design_420.1,0.2102630701698373
design_168.1,0.2097280261232938
design_432.1,0.20916981546375193
design_7.1,0.20912999875930524
design_231.1,0.20909096256044088
design_985.1,0.20903998987974093
design_221.1,0.20888405391554585
design_268.1,0.20871800270049873
design_553.1,0.20833700419830495
design_816.1,0.20820231689196522
design_589.1,0.20760035797518275
design_972.1,0.20755766216138535
design_561.1,0.20755457978189204
design_346.1,0.20720888714566557
design_284.1,0.20709641053735656
design_142.1,0.2067857824551887
design_760.1,0.20644431153776074
design_117.1,0.20643134648477357
design_188.1,0.20640888930289228
design_422.1,0.2063180792897073
design_563.1,0.20607914599629673
design_225.1,0.20603538888001066
design_979.1,0.2059596867225696
design_237.1,0.2057362166371941
design_540.1,0.20566548885228753
design_51.1,0.20559555325415899
design_103.1,0.20549756576527353
design_672.1,0.20496619834967236
design_709.1,0.20426155972825308
design_658.1,0.20415987299668592
design_260.1,0.20414371664447967
design_526.1,0.20397357010010894
design_213.1,0.20370359179697473
design_549.1,0.20349391540127706
design_222.1,0.20348530042331628
design_729.1,0.2032484827406674
design_478.1,0.20301007377613547
design_146.1,0.20265479071429218
design_576.1,0.20261603267310566
design_113.1,0.20220942094823663
design_236.1,0.20210218995458518
design_983.1,0.20197198379946363
design_38.1,0.20190846399062654
design_145.1,0.20185268565797107
design_410.1,0.20164022376232957
design_378.1,0.20090017403122293
design_896.1,0.20085056861282813
design_651.1,0.20061560316945765
design_99.1,0.20050045880163625
design_120.1,0.20047037308049634
design_207.1,0.20035206298425892
design_941.1,0.200154804548921
design_552.1,0.20003550217057048
design_828.1,0.20002670218871832
design_737.1,0.19991760424561153
design_671.1,0.19957887155997286
design_210.1,0.1994059161843798
design_375.1,0.19929241672803633
design_564.1,0.198742134189147
design_343.1,0.19871818166030736
design_867.1,0.19868913230444
design_59.1,0.19865511418566723
design_259.1,0.19864067032062602
design_516.1,0.1983154347431502
design_921.1,0.19788368460095687
design_861.1,0.19772189230988735
design_244.1,0.1976478782527813
design_956.1,0.19761578496741294
design_612.1,0.19741648502367196
design_915.1,0.19739625186241366
design_677.1,0.19734078227790902
design_72.1,0.19730648874534368
design_699.1,0.19714205918170175
design_8.1,0.19712348040307234
design_300.1,0.19710855811301153
design_224.1,0.19706393340865938
design_430.1,0.19702038871946267
design_34.1,0.19687457000904782
design_799.1,0.19683657417509165
design_744.1,0.1968292436400358
design_190.1,0.19680945022820978
design_573.1,0.19680221166019596
design_999.1,0.19673987400805032
design_435.1,0.19673640660466604
design_515.1,0.19670880143171937
design_454.1,0.19667820461643196
design_842.1,0.19666264189878419
design_230.1,0.19652120830576947
design_801.1,0.19628422444511695
design_242.1,0.1962773578676336
design_866.1,0.19612481008108804
design_800.1,0.1957418956753178
design_739.1,0.19534005209332078
design_718.1,0.19517187142911582
design_936.1,0.19507948542610104
design_730.1,0.19492212412196427
design_137.1,0.1948202357442649
design_740.1,0.19474204056536656
design_449.1,0.1945677538543153
design_717.1,0.19452873061802675
design_704.1,0.19443708590930436
design_502.1,0.1944021572214238
design_681.1,0.19437739750175356
design_1.1,0.19430565750357798
design_492.1,0.19430365092143706
design_279.1,0.19425028060995367
